id,name
497,sarfnahw
498,yes
499,murad
500,yes
501,murad
502,yes
503,murad
504,yes
505,murad
506,yes
507,murad
508,yes
509,murad
510,yes
511,murad
512,sarfnahw
513,tabeer
514,yes
515,lughawi
516,yes
517,murad
518,yes
519,lughawi
520,sarfnahw
521,yes
522,murad
523,yes
524,lughawi
525,murad
526,sarfnahw
527,yes
528,lughawi
529,murad
530,yes
531,murad
532,yes
533,murad
534,yes
535,murad
536,yes
537,murad
538,sarfnahw
539,yes
540,murad
541,tabeer
542,yes
543,murad
544,yes
545,murad
546,yes
547,murad
548,yes
549,murad
550,yes
551,sarfnahw
552,yes
553,murad
554,yes
555,murad
556,yes
557,murad
558,yes
559,murad
560,yes
561,murad
562,yes
563,murad
564,yes
565,fiqhterm
566,usulfiqh
567,yes
568,fiqhterm
569,fiqhterm
570,fiqhterm
571,jihadsiyar
572,yes
573,nikah
574,yes
575,miras
576,yes
577,yes
578,jihadsiyar
579,yes
580,jihadsiyar
581,yes
582,jihadsiyar
583,scienceterm
584,scienceterm
585,sarfnahw
586,yes
587,murad
588,yes
589,sarfnahw
590,yes
591,murad
592,yes
593,kalam
594,murad
595,sarfnahw
596,yes
597,murad
598,sarfnahw
599,yes
600,sarfnahw
601,yes
602,sarfnahw
603,yes
604,harakat
605,yes
606,lughaterm
607,murad
608,yes
609,lughawi
610,sarfnahw
611,yes
612,sarfnahw
613,yes
614,lughawi
615,yes
616,murad
617,yes
618,sarfnahw
619,yes
620,sarfnahw
621,yes
622,lughawi
623,yes
624,yes
625,insan
626,yes
627,insan
628,yes
629,science
630,usulfiqh
631,yes
632,fiqhterm
633,usulfiqh
634,yes
635,murad
636,yes
637,murad
638,yes
639,arz
640,yes
641,arz
642,yes
643,lughawi
644,murad
645,yes
646,murad
647,yes
648,scienceterm
649,scienceterm
650,arz
651,yes
652,lughawi
653,murad
654,yes
655,lughawi
656,murad
657,yes
658,nasraniya
659,yahudiya
660,yes
661,ahlkitab
662,adyanterm
663,murad
664,yes
665,murad
666,yes
667,lughawi
668,murad
669,yes
670,murad
671,yes
672,samiyat
673,yes
674,lughawi
675,sarfnahw
676,yes
677,lughawi
678,yes
679,lughawi
680,yes
681,arz
682,yes
683,scienceterm
684,scienceterm
685,scienceterm
686,samiyat
687,yes
688,samiyat
689,yes
690,scienceterm
691,scienceterm
692,scienceterm
693,yes
694,arz
695,yes
696,arz
697,samiyat
698,yes
699,samiyat
700,yes
701,samiyat
702,yes
703,kalamterm
704,kalamterm
705,samiyat
706,sawabiqab
707,murad
708,sarfnahw
709,yes
710,samiyat
711,murad
712,yes
713,murad
714,sarfnahw
715,yes
716,murad
717,yes
718,sarfnahw
719,yes
720,sarfnahw
721,yes
722,murad
723,yes
724,lughawi
725,yes
726,samiyat
727,yes
728,samiyat
729,yes
730,samiyat
731,yes
732,samiyat
733,yes
734,murad
735,sarfnahw
736,yes
737,murad
738,yes
739,murad
740,yes
741,lughawi
742,murad
743,yes
744,lughawi
745,murad
746,yes
747,lughawi
748,murad
749,yes
750,murad
751,yes
752,murad
753,sarfnahw
754,yes
755,murad
756,sarfnahw
757,yes
758,murad
759,sarfnahw
760,yes
761,murad
762,yes
763,murad
764,sarfnahw
765,yes
766,sarfnahw
767,yes
768,murad
769,sarfnahw
770,yes
771,murad
772,yes
773,lughawi
774,murad
775,yes
776,areason
777,yes
778,areason
779,yes
780,areason
781,yes
782,areason
783,yes
784,yahudiya
785,yes
786,yes
787,snubuwwa
788,areason
789,yes
790,yes
791,insan
792,murad
793,sarfnahw
794,yes
795,murad
796,yes
797,murad
798,yes
799,murad
800,sarfnahw
801,yes
802,murad
803,yes
804,lughawi
805,murad
806,sarfnahw
807,yes
808,murad
809,yes
810,murad
811,yes
812,murad
813,yes
814,murad
815,yes
816,murad
817,yes
818,scienceterm
819,murad
820,yes
821,murad
822,sarfnahw
823,yes
824,sarfnahw
825,yes
826,murad
827,yes
828,murad
829,sarfnahw
830,yes
831,murad
832,sarfnahw
833,yes
834,murad
835,tabeer
836,yes
837,murad
838,yes
839,murad
840,yes
841,murad
842,yes
843,murad
844,yes
845,murad
846,yes
847,murad
848,yes
849,lughawi
850,tabeer
851,yes
852,lughawi
853,tabeer
854,yes
855,murad
856,yes
857,scienceterm
858,scienceterm
859,scienceterm
860,murad
861,yes
862,murad
863,yes
864,lughawi
865,murad
866,yes
867,lughawi
868,sarfnahw
869,yes
870,sarfnahw
871,yes
872,sarfnahw
873,yes
874,sarfnahw
875,yes
876,scienceterm
877,arz
878,yes
879,scienceterm
880,scienceterm
881,scienceterm
882,scienceterm
883,arz
884,yes
885,murad
886,yes
887,arz
888,yes
889,scienceterm
890,murad
891,sarfnahw
892,yes
893,murad
894,sarfnahw
895,yes
896,murad
897,yes
898,murad
899,yes
900,murad
901,tabeer
902,yes
903,arz
904,yes
905,scienceterm
906,shams
907,yes
908,qamar
909,yes
910,nujum
911,yes
912,arz
913,yes
914,scienceterm
915,murad
916,sarfnahw
917,yes
918,murad
919,sarfnahw
920,yes
921,lughawi
922,sarfnahw
923,yes
924,lughawi
925,yes
926,lughawi
927,yes
928,lahajat
929,lughawi
930,sarfnahw
931,yes
932,lughawi
933,murad
934,yes
935,murad
936,yes
937,lughawi
938,sarfnahw
939,yes
940,murad
941,sarfnahw
942,yes
943,murad
944,yes
945,murad
946,yes
947,arz
948,yes
949,yes
950,nizamhukumt
951,fiqhterm
952,yes
953,nizamhukumt
954,yes
955,nizamhukumt
956,samiyat
957,yes
958,yes
959,insan
960,scienceterm
961,samiyat
962,yes
963,samiyat
964,yes
965,samiyat
966,yes
967,samiyat
968,yes
969,samiyat
970,yes
971,samiyat
972,yes
973,samiyat
974,yes
975,samiyat
976,yes
977,samiyat
978,yes
979,samiyat
980,yes
981,yes
982,usulfiqh
983,samiyat
984,yes
985,yes
986,usulfiqh
987,samiyat
988,yes
989,samiyat
990,yes
991,samiyat
992,yes
993,murad
994,yes
995,murad
996,yes
997,yes
998,nizamhukumt
999,samiyat
1000,yes
1001,samiyat
1002,yes
1003,samiyat
1004,yes
1005,samiyat
1006,yes
1007,murad
1008,yes
1009,murad
1010,yes
1011,sother
1012,yes
1013,sother
1014,yes
1015,lughawi
1016,yes
1017,murad
1018,yes
1019,murad
1020,yes
1021,lughawi
1022,murad
1023,yes
1024,murad
1025,yes
1026,murad
1027,yes
1028,murad
1029,yes
1030,murad
1031,yes
1032,yes
1033,insan
1034,arz
1035,yes
1036,lughawi
1037,yes
1038,lughawi
1039,murad
1040,yes
1041,murad
1042,sarfnahw
1043,yes
1044,murad
1045,sarfnahw
1046,yes
1047,murad
1048,sarfnahw
1049,yes
1050,murad
1051,sarfnahw
1052,yes
1053,zatilahi
1054,yes
1055,sifatilahi
1056,zatilahi
1057,yes
1058,zatilahi
1059,yes
1060,sifatilahi
1061,zatilahi
1062,yes
1063,yes
1064,nizamhukumt
1065,yes
1066,adabqazi
1067,murad
1068,yes
1069,murad
1070,yes
1071,murad
1072,yes
1073,areason
1074,yes
1075,israeliyat
1076,yes
1077,sufism
1078,kalam
1079,samiyat
1080,yes
1081,samiyat
1082,yes
1083,samiyat
1084,yes
1085,samiyat
1086,yes
1087,samiyat
1088,yes
1089,samiyat
1090,yes
1091,samiyat
1092,yes
1093,samiyat
1094,yes
1095,samiyat
1096,yes
1097,samiyat
1098,yes
1099,samiyat
1100,yes
1101,samiyat
1102,yes
1103,samiyat
1104,yes
1105,samiyat
1106,yes
1107,lughawi
1108,yes
1109,murad
1110,yes
1111,murad
1112,yes
1113,murad
1114,yes
1115,lughawi
1116,sarfnahw
1117,yes
1118,murad
1119,yes
1120,murad
1121,yes
1122,murad
1123,yes
1124,murad
1125,yes
1126,murad
1127,yes
1128,murad
1129,yes
1130,samiyat
1131,yes
1132,samiyat
1133,yes
1134,samiyat
1135,yes
1136,yes
1137,insan
1138,yes
1139,insan
1140,yes
1141,insan
1142,samiyat
1143,yes
1144,lughawi
1145,murad
1146,tabeer
1147,yes
1148,samiyat
1149,yes
1150,samiyat
1151,yes
1152,lughawi
1153,yes
1154,lughawi
1155,murad
1156,yes
1157,murad
1158,yes
1159,sarfnahw
1160,yes
1161,murad
1162,sarfnahw
1163,yes
1164,sarfnahw
1165,yes
1166,sarfnahw
