id,name
599,sirah
600,rajeh
601,takhsis
602,adyan
603,yes
604,kalam
605,sirah
606,adyan
607,asbab
608,yes
609,sirah
610,kalam
611,lugha
612,yes
613,lugha
614,yes
615,rajeh
616,tikrar
617,kalam
618,yes
619,
620,lugha
621,yes
622,sufism
623,yes
624,sufism
625,yes
626,sufism
627,yes
628,
629,sufism
630,yes
631,sufism
632,yes
633,sufism
634,yes
635,sufism
636,yes
637,kalam
638,fiqh
639,lugha
640,yes
641,rajeh
642,kalam
643,yes
644,lugha
645,yes
646,kalam
647,kalam
648,yes
649,adyan
650,sufism
651,yes
652,kalam
653,yes
654,
655,yes
656,kalam
657,sirah
658,sirah
659,adyan
660,yes
661,tikrar
662,rajeh
663,yes
664,
665,
666,adyan
667,yes
668,kalam
669,
670,asbab
671,lugha
672,yes
673,tikrar
674,
675,kalam
676,sufism
677,yes
678,
679,kalam
680,yes
681,lugha
682,yes
683,kalam
684,sufism
685,yes
686,lugha
687,qiraat
688,yes
689,rajeh
690,lugha
691,yes
692,kalam
693,yes
694,
695,lugha
696,yes
697,kalam
698,yes
699,
700,kalam
701,sufism
702,yes
703,
704,kalam
705,science
706,yes
707,lugha
708,yes
709,lugha
710,yes
711,
712,lugha
713,yes
714,
715,qiraat
716,yes
717,kalam
718,
719,yes
720,kalam
721,sufism
722,qiraat
723,yes
724,kalam
725,rajeh
726,lugha
727,yes
728,
729,sufism
730,yes
731,sufism
732,yes
733,kalam
734,sufism
735,yes
736,sufism
737,yes
738,asbab
739,yes
740,kalam
741,sirah
742,rajeh
743,tikrar
744,kalam
745,sufism
746,yes
747,adyan
748,yes
749,
750,kalam
751,yes
752,adyan
753,yes
754,sirah
755,kalam
756,rajeh
757,kalam
758,sufism
759,yes
760,adyan
761,yes
762,sirah
763,kalam
764,kalam
765,yes
766,lugha
767,yes
768,lugha
769,yes
770,kalam
771,yes
772,sufism
773,
774,
775,
776,kalam
777,yes
778,
779,
780,kalam
781,sufism
782,yes
783,
784,
785,adyan
786,kalam
787,yes
788,sufism
789,adyan
790,yes
791,adyan
792,yes
793,
794,adyan
795,yes
796,kalam
797,kalam
798,yes
799,adyan
800,yes
801,kalam
802,yes
803,adyan
804,yes
805,
806,adyan
807,yes
808,kalam
809,yes
810,adyan
811,yes
812,
813,lugha
814,yes
815,kalam
816,lugha
817,yes
818,adyan
819,yes
820,kalam
821,
822,
823,
824,
825,
826,lugha
827,yes
828,adyan
829,sufism
830,lugha
831,yes
832,adyan
833,lugha
834,yes
835,usfism
836,israeliyat
837,yes
838,sufism
839,yes
840,
841,lugha
842,yes
843,
844,lugha
845,yes
846,lugha
847,yes
848,rajeh
849,lugha
850,yes
851,kalma
852,lugha
853,yes
854,kalam
855,
856,lugha
857,yes
858,kalam
859,lugha
860,yes
861,kalam
862,lugha
863,yes
864,kalam
865,
866,lugha
867,yes
868,kalam
869,sufism
870,lugha
871,yes
872,kalam
873,lugha
874,yes
875,lugha
876,yes
877,lugha
878,yes
879,
880,lugha
881,yes
882,lugha
883,yes
884,
885,kalam
886,yes
887,israeliyat
888,kalam
889,yes
890,kalam
891,sufism
892,yes
893,sufism
894,yes
895,
896,sufism
897,yes
898,lugha
899,yes
900,kalam
901,adyan
902,lugha
903,yes
904,lugha
905,yes
906,kalam
907,lugha
908,yes
909,kalam
910,rajeh
911,kalam
912,yes
913,rajeh
914,kalam
915,yes
916,sufism
917,yes
918,kalam
919,sufism
920,yes
921,lugha
922,yes
923,lugha
924,yes
925,yes
926,rajeh
927,
928,lugha
929,lugha
930,yes
931,lugha
932,yes
933,rajeh
934,
935,
936,fiqh
937,kalam
938,yes
939,
940,kalam
941,yes
942,kalam
943,yes
944,kalam
945,yes
946,sufism
947,
948,kalam
949,sufism
950,yes
951,
952,kalam
953,sufism
954,yes
955,sufism
956,yes
957,kalam
958,science
959,yes
960,sufism
961,
962,kalam
963,yes
964,sufism
965,adyan
966,science
967,rajeh
968,yes
969,kalam
970,fiqh
971,yes
972,kalam
973,susfism
974,fiqh
975,yes
976,kalam
977,sufism
978,science
979,lugha
980,yes
981,lugha
982,yes
983,kalam
984,
985,lugha
986,qiraat
987,yes
988,sufism
989,rajeh
990,
991,adyan
992,yes
993,kalam
994,adyan
995,
996,lugha
997,yes
998,
999,lugha
1000,yes
1001,science
1002,
1003,
1004,
1005,
1006,kalam
1007,yes
1008,
1009,
1010,
1011,lugha
1012,yes
1013,rajeh
1014,adyan
1015,yes
1016,lugha
1017,yes
1018,kalam
1019,kalam
1020,science
1021,sufism
1022,yes
1023,sufism
1024,yes
1025,kalam
1026,kalam
1027,science
1028,yes
1029,science
1030,yes
1031,fiqh
1032,yes
1033,sufism
1034,rajeh
1035,sufism
1036,yes
1037,sufism
1038,yes
1039,lugha
1040,sufism
1041,yes
1042,science
